;parent;name;inner.name
0;flights;How do I find the cheapest flights?;Do flight prices go down at night?
1;flights;How do I find the cheapest flights?;How can I fly for free?
2;flights;What is the cheapest day of the week to fly?;What days are cheapest to buy plane tickets?
3;flights;What is the cheapest day of the week to fly?;What is the cheapest month to fly?
4;flights;What is the cheapest day of the week to fly?;What days are flights the cheapest to buy?
5;flights;What is the best site for airfare?;Is it cheaper to book flights online or with a travel agent?
6;flights;What is the best site for airfare?;What airline is the cheapest?
7;flights;What is the best site for airfare?;Which travel booking site is the best?
8;flights;What is the best day of the week to buy plane tickets?;Do flight prices change daily?
9;flights;What is the best day of the week to buy plane tickets?;Is it cheaper to book flights last minute?
10;flights;What is the best day of the week to buy plane tickets?;How many days before a flight is the best price?
